人,ヒト
方,ホウ
自分,ジブン
日,ヒ
家,イエ
手,テ
男,オトコ
顔,カオ
子ども,コドモ
本当,ホントウ
女,オンナ
声,コエ
言葉,コトバ
下,シタ
母,ハハ
店,ミセ
頭,アタマ
問題,モンダイ
口,クチ
会社,カイシャ
父,チチ
先生,センセイ
次,ツギ
部屋,ヘヤ
外,ソト
名前,ナマエ
水,ミズ
側,ガワ
国,クニ
色,イロ
道,ミチ
足,アシ
友達,トモダチ
学校,ガッコウ
テレビ,テレビ
大学,ダイガク
山,ヤマ
病院,ビョウイン
写真,シャシン
家族,カゾク
耳,ミミ
犬,イヌ
木,キ
ホテル,ホテル
酒,サケ
海,ウミ
駅,エキ
兄,アニ
横,ヨコ
語,ゴ
半,ハン
女の子,オンナノコ
台,ダイ
窓,マド
猫,ネコ
右,ミギ
花,ハナ
ドア,ドア
歯,ハ
新聞,シンブン
叔父,オジ
川,カワ
姉,アネ
後,ウシロ
空,ソラ
映画,エイガ
番号,バンゴウ
紙,カミ
薬,クスリ
服,フク
となり,トナリ
両親,リョウシン
英語,エイゴ
たばこ,タバコ
大人,オトナ
歌,ウタ
婆,バア
向こう,ムコウ
雪,ユキ
左,ヒダリ
バス,バス
学生,ガクセイ
鼻,ハナ
村,ムラ
箱,ハコ
雨,アメ
黒,クロ
銀行,ギンコウ
家庭,カテイ
手紙,テガミ
椅子,イス
テーブル,テーブル
背,セ
魚,サカナ
爺,ジイ
電車,デンシャ
医者,イシャ
おば,オバ
ベッド,ベッド
絵,エ
コーヒー,コーヒー
弟,オトウト
妹,イモウト
ごめん,ゴメン
白,シラ
北,キタ
ふろ,フロ
パン,パン
外国,ガイコク
雑誌,ザッシ
辺,ヘン
庭,ニワ
玄関,ゲンカン
男の子,オトコノコ
おなか,オナカ
音楽,オンガク
兄弟,キョウダイ
動物,ドウブツ
ボール,ボール
トイレ,トイレ
肉,ニク
建物,タテモノ
電気,デンキ
橋,ハシ
ご飯,ゴハン
階段,カイダン
鳥,トリ
赤,アカ
カギ,カギ
荷物,ニモツ
東,ヒガシ
時計,トケイ
ニュース,ニュース
公園,コウエン
机,ツクエ
門,モン
西,ニシ
文章,ブンショウ
アパート,アパート
戸,ト
タマゴ,タマゴ
カメラ,カメラ
菓子,カシ
緑,ミドリ
シャツ,シャツ
南,ミナミ
タクシー,タクシー
靴,クツ
入り口,イリグチ
廊下,ロウカ
クラス,クラス
眼鏡,メガネ
テープ,テープ
ポケット,ポケット
食べ物,タベモノ
ラジオ,ラジオ
青,アオ
教室,キョウシツ
角,カク
風邪,カゼ
皿,サラ
おおぜい,オオゼイ
ペット,ペット
地図,チズ
野菜,ヤサイ
洋服,ヨウフク
レストラン,レストラン
生徒,セイト
台所,ダイドコロ
池,イケ
ペン,ペン
コート,コート
ボタン,ボタン
カレー,カレー
弁当,ベントウ
天気,テンキ
パーティー,パーティー
漢字,カンジ
カップ,カップ
封筒,フウトウ
財布,サイフ
帽子,ボウシ
塩,シオ
ズボン,ズボン
喫茶,キッサ
スカート,スカート
牛乳,ギュウニュウ
ナイフ,ナイフ
夏休み,ナツヤスミ
砂糖,サトウ
傘,カサ
しょうゆ,ショウユ
はがき,ハガキ
コップ,コップ
デパート,デパート
シャワー,シャワー
箸,ハシ
警官,ケイカン
カバン,カバン
食堂,ショクドウ
ポスト,ポスト
黄色,キイロ
エレベーター,エレベーター
フィルム,フィルム
せっけん,セッケン
飲み物,ノミモノ
茶色,チャイロ
ギター,ギター
切符,キップ
出口,デグチ
飴,アメ
ネクタイ,ネクタイ
上着,ウワギ
辞書,ジショ
ハンカチ,ハンカチ
切手,キッテ
縦,タテ
茶碗,チャワン
バター,バター
靴下,クツシタ
セーター,セーター
レコード,レコード
宿題,シュクダイ
果物,クダモノ
カタカナ,カタカナ
夕飯,ユウハン
フォーク,フォーク
紅茶,コウチャ
鉛筆,エンピツ
スリッパ,スリッパ
灰皿,ハイザラ
ストーブ,ストーブ
スプーン,スプーン
ひらがな,ヒラガナ
カレンダー,カレンダー
背広,セビロ
交番,コウバン
ワイシャツ,ワイシャツ
手洗い,テアライ
牛肉,ギュウニク
おととい,オトトイ
曇り,クモリ
豚肉,ブタニク
本棚,ホンダナ
晩御飯,バンゴハン
花瓶,カビン
八百屋,ヤオヤ
お回り,オマワリ
ラジカセ,ラジカセ
鳥肉,トリニク
朝ご飯,アサゴハン
字引,ジビキ
ひるごはん,ヒルゴハン
こと,コト
気,キ
わけ,ワケ
間,アイダ
子,コ
はず,ハズ
女性,ジョセイ
気持ち,キモチ
心,ココロ
力,チカラ
音,オト
場所,バショ
形,カタチ
理由,リユウ
娘,ムスメ
世界,セカイ
最後,サイゴ
点,テン
つもり,ツモリ
男性,ダンセイ
時代,ジダイ
主人,シュジン
客,キャク
首,クビ
市,シ
夫,オット
会,カイ
周り,マワリ
妻,ツマ
夢,ユメ
式,シキ
息子,ムスコ
県,ケン
光,ヒカリ
警察,ケイサツ
船,フネ
気分,キブン
席,セキ
パソコン,パソコン
腕,ウデ
高校,コウコウ
におい,ニオイ
タイプ,タイプ
指,ユビ
社会,シャカイ
代わり,カワリ
仕方,シカタ
うそ,ウソ
火,ヒ
血,チ
髪,カミ
興味,キョウミ
事故,ジコ
格好,カッコウ
壁,カベ
裏,ウラ
都合,ツゴウ
以下,イカ
番組,バングミ
答え,コタエ
石,イシ
み,ミ
値段,ネダン
空気,クウキ
字,ジ
ガラス,ガラス
近所,キンジョ
専門,センモン
具合,グアイ
表,ヒョウ
背中,セナカ
社長,シャチョウ
先輩,センパイ
おかげ,オカゲ
住所,ジュウショ
両方,リョウホウ
都,ト
森,モリ
ビル,ビル
趣味,シュミ
熱,ネツ
布団,フトン
のど,ノド
湯,ユ
機会,キカイ
スーパー,スーパー
赤ちゃん,アカチャン
区,ク
帰り,カエリ
楽しみ,タノシミ
技術,ギジュツ
虫,ムシ
政治,セイジ
毛,ケ
休み,ヤスミ
歴史,レキシ
米,ベイ
星,ホシ
畳,タタミ
遊び,アソビ
草,クサ
漫画,マンガ
雲,クモ
ごみ,ゴミ
宅,タク
道具,ドウグ
小説,ショウセツ
葉,ハ
空港,クウコウ
季節,キセツ
経済,ケイザイ
真ん中,マンナカ
田舎,イナカ
機械,キカイ
祖母,ソボ
法律,ホウリツ
工場,コウジョウ
みそ,ミソ
文化,ブンカ
着物,キモノ
人形,ニンギョウ
スーツ,スーツ
枝,エダ
部長,ブチョウ
糸,イト
店員,テンイン
コンピューター,コンピューター
習慣,シュウカン
みやげ,ミヤゲ
湖,ミズウミ
ガス,ガス
祝い,イワイ
祖父,ソフ
金持ち,カネモチ
ケーキ,ケーキ
品物,シナモノ
嬢,ジョウ
隅,スミ
台風,タイフウ
このごろ,コノゴロ
下着,シタギ
会場,カイジョウ
教会,キョウカイ
パート,パート
正月,ショウガツ
国際,コクサイ
パパ,パパ
砂,スナ
ひげ,ヒゲ
棚,タナ
神社,ジンジャ
ベル,ベル
おもちゃ,オモチャ
海岸,カイガン
ガソリン,ガソリン
旅館,リョカン
カーテン,カーテン
ピアノ,ピアノ
見舞い,ミマイ
規則,キソク
指輪,ユビワ
市民,シミン
港,ミナト
割合,ワリアイ
アルコール,アルコール
赤ん坊,アカンボウ
課長,カチョウ
坂,サカ
用事,ヨウジ
泥棒,ドロボウ
文学,ブンガク
景色,ケシキ
地震,ジシン
人口,ジンコウ
日記,ニッキ
西洋,セイヨウ
サラダ,サラダ
テキスト,テキスト
校長,コウチョウ
電灯,デントウ
コンサート,コンサート
医学,イガク
レジ,レジ
アナウンサー,アナウンサー
スクリーン,スクリーン
家内,カナイ
テニス,テニス
火事,カジ
手袋,テブクロ
数学,スウガク
抽出,ヒキダシ
水道,スイドウ
乗り物,ノリモノ
特急,トッキュウ
ブドウ,ブドウ
売り場,ウリバ
産業,サンギョウ
アクセサリー,アクセサリー
郊外,コウガイ
サンダル,サンダル
屋上,オクジョウ
すり,スリ
工業,コウギョウ
絹,キヌ
小鳥,コトリ
押し入れ,オシイレ
花見,ハナミ
汽車,キシャ
地理,チリ
オートバイ,オートバイ
サンドイッチ,サンドイッチ
贈り物,オクリモノ
スーツケース,スーツケース
辞典,ジテン
木綿,モメン
ステレオ,ステレオ
ステーキ,ステーキ
柔道,ジュウドウ
ワープロ,ワープロ
ジャム,ジャム
学部,ガクブ
文法,ブンポウ
ハンバーグ,ハンバーグ
電報,デンポウ
エスカレーター,エスカレーター
床屋,トコヤ
忘れ物,ワスレモノ
講堂,コウドウ
人間,ニンゲン
とも,トモ
相手,アイテ
方法,ホウホウ
名,ナ
法,ホウ
情報,ジョウホウ
場,バ
地,チ
実,ジツ
部分,ブブン
自然,シゼン
状態,ジョウタイ
主義,シュギ
人々,ヒトビト
違い,チガイ
姿,スガタ
一般,イッパン
学,ガク
元,モト
身,ミ
内容,ナイヨウ
地域,チイキ
感,カン
程度,テイド
状況,ジョウキョウ
例,レイ
中心,チュウシン
目的,モクテキ
個人,コジン
事件,ジケン
基本,キホン
型,カタ
全体,ゼンタイ
親,オヤ
精神,セイシン
同時,ドウジ
環境,カンキョウ
世紀,セイキ
図,ズ
制度,セイド
効果,コウカ
面,メン
思い,オモイ
地方,チホウ
論,ロン
政府,セイフ
自己,ジコ
感じ,カンジ
責任,セキニン
企業,キギョウ
事業,ジギョウ
現実,ゲンジツ
対象,タイショウ
保険,ホケン
国民,コクミン
条件,ジョウケン
一体,イッタイ
軍,グン
土地,トチ
神,カミ
都市,トシ
章,ショウ
価値,カチ
奥,オク
国家,コッカ
行為,コウイ
役,ヤク
奴,ヤツ
死,シ
人生,ジンセイ
能力,ノウリョク
文字,モジ
なし,ナシ
互い,タガイ
量,リョウ
期間,キカン
機関,キカン
様子,ヨウス
主,ヌシ
常,ツネ
立場,タチバ
条,ジョウ
構造,コウゾウ
考え,カンガエ
システム,システム
局,キョク
友人,ユウジン
商品,ショウヒン
具体,グタイ
自動,ジドウ
委員,イイン
人物,ジンブツ
率,リツ
性格,セイカク
中央,チュウオウ
知識,チシキ
身体,シンタイ
動き,ウゴキ
少年,ショウネン
事務,ジム
段階,ダンカイ
胸,ムネ
間違い,マチガイ
種類,シュルイ
自体,ジタイ
母親,ハハオヤ
街,マチ
同,ドウ
方向,ホウコウ
額,ヒタイ
天皇,テンノウ
せい,セイ
他人,タニン
役割,ヤクワリ
態度,タイド
本人,ホンニン
夫婦,フウフ
レベル,レベル
政策,セイサク
王,オウ
仲間,ナカマ
事情,ジジョウ
特徴,トクチョウ
全国,ゼンコク
感情,カンジョウ
作品,サクヒン
最大,サイダイ
器,ウツワ
父親,チチオヤ
グループ,グループ
差,サ
集団,シュウダン
基準,キジュン
いのち,イノチ
資料,シリョウ
距離,キョリ
年齢,ネンレイ
園,ソノ
思想,シソウ
近代,キンダイ
城,シロ
文,ブン
ケース,ケース
師,シ
被害,ヒガイ
範囲,ハンイ
重,ジュウ
丸,マル
宗教,シュウキョウ
利益,リエキ
関心,カンシン
流れ,ナガレ
馬,ウマ
世,ヨ
データ,データ
つくり,ツクリ
印象,インショウ
道路,ドウロ
表情,ヒョウジョウ
件,ケン
腰,コシ
住宅,ジュウタク
敵,テキ
生命,セイメイ
老人,ロウジン
茶,チャ
民族,ミンゾク
愛,アイ
項,コウ
説,セツ
傾向,ケイコウ
ホーム,ホーム
理論,リロン
組,クミ
腹,ハラ
疑問,ギモン
周囲,シュウイ
行政,ギョウセイ
若者,ワカモノ
基礎,キソ
現場,ゲンバ
体制,タイセイ
値,アタイ
目標,モクヒョウ
規模,キボ
戦,イクサ
内部,ナイブ
団体,ダンタイ
モデル,モデル
手段,シュダン
記事,キジ
人気,ニンキ
現象,ゲンショウ
笑い,ワライ
伝統,デントウ
姿勢,シセイ
物語,モノガタリ
最終,サイシュウ
ポイント,ポイント
過程,カテイ
空間,クウカン
雰囲気,フンイキ
像,ゾウ
対策,タイサク
権利,ケンリ
センター,センター
市場,シジョウ
肩,カタ
版,ハン
価格,カカク
海外,カイガイ
入り,イリ
正面,ショウメン
穴,アナ
税,ゼイ
知恵,チエ
義務,ギム
仕様,シヨウ
カード,カード
エネルギー,エネルギー
要素,ヨウソ
ちなみ,チナミ
大臣,ダイジン
カ所,カショ
分野,ブンヤ
住民,ジュウミン
旧,キュウ
革命,カクメイ
土,ツチ
地球,チキュウ
民,ミン
一言,ヒトコト
床,ユカ
国内,コクナイ
積極,セッキョク
時点,ジテン
ただ,タダ
注,チュウ
州,シュウ
医療,イリョウ
罪,ツミ
中学,チュウガク
節,フシ
課題,カダイ
概念,ガイネン
青年,セイネン
対,タイ
世間,セケン
息,イキ
心理,シンリ
最,サイ
出身,シュッシン
話題,ワダイ
波,ナミ
形式,ケイシキ
イン,イン
教師,キョウシ
男女,ダンジョ
背景,ハイケイ
地下,チカ
メーカー,メーカー
単位,タンイ
周辺,シュウヘン
曲,キョク
費用,ヒヨウ
材料,ザイリョウ
患者,カンジャ
女子,ジョシ
鉄,テツ
資本,シホン
世代,セダイ
マン,マン
組合,クミアイ
層,ソウ
ゲーム,ゲーム
くせ,クセ
職,ショク
金額,キンガク
文書,ブンショ
天,テン
世の中,ヨノナカ
証拠,ショウコ
記者,キシャ
終わり,オワリ
年金,ネンキン
職業,ショクギョウ
府,フ
社員,シャイン
一種,イッシュ
言語,ゲンゴ
袋,フクロ
自宅,ジタク
資格,シカク
縁,エン
権力,ケンリョク
理想,リソウ
群,グン
資金,シキン
未,ミ
医師,イシ
事態,ジタイ
初期,ショキ
ワン,ワン
選手,センシュ
クラブ,クラブ
プロ,プロ
神経,シンケイ
インターネット,インターネット
危機,キキ
兵,ヘイ
魅力,ミリョク
底,ソコ
テーマ,テーマ
戦,タタカイ
領域,リョウイキ
案,アン
仮,カリ
相互,ソウゴ
少女,ショウジョ
板,イタ
婦人,フジン
初,ハツ
常識,ジョウシキ
日々,ヒビ
形態,ケイタイ
収入,シュウニュウ
肌,ハダ
数字,スウジ
製品,セイヒン
人類,ジンルイ
玉,タマ
前提,ゼンテイ
犯罪,ハンザイ
文明,ブンメイ
未来,ミライ
年度,ネンド
朝日,アサヒ
太陽,タイヨウ
ビール,ビール
業務,ギョウム
法人,ホウジン
座,ザ
物質,ブッシツ
舞台,ブタイ
余裕,ヨユウ
メディア,メディア
食,ショク
地位,チイ
マンション,マンション
場面,バメン
自治,ジチ
夫人,フジン
財産,ザイサン
公共,コウキョウ
きっかけ,キッカケ
職員,ショクイン
傷,キズ
主体,シュタイ
核,カク
職場,ショクバ
宇宙,ウチュウ
礼,レイ
メンバー,メンバー
チーム,チーム
意思,イシ
現状,ゲンジョウ
地元,ジモト
芸術,ゲイジュツ
怒り,イカリ
柱,ハシラ
行,ギョウ
株式,カブシキ
郡,グン
出来事,デキゴト
農業,ノウギョウ
論理,ロンリ
民主,ミンシュ
勢い,イキオイ
方針,ホウシン
喜び,ヨロコビ
画面,ガメン
本書,ホンショ
視点,シテン
調子,チョウシ
視線,シセン
民間,ミンカン
策,サク
トップ,トップ
成果,セイカ
教科,キョウカ
幕府,バクフ
脳,ノウ
原理,ゲンリ
性質,セイシツ
はかせ,ハカセ
ママ,ママ
表面,ヒョウメン
論文,ロンブン
本質,ホンシツ
複数,フクスウ
意志,イシ
生物,セイブツ
哲学,テツガク
帝国,テイコク
笑顔,エガオ
各地,カクチ
ヤミ,ヤミ
高齢,コウレイ
痛み,イタミ
秩序,チツジョ
骨,ホネ
気味,キミ
文句,モンク
読者,ドクシャ
会長,カイチョウ
犯人,ハンニン
岩,イワ
植物,ショクブツ
脇,ワキ
ファン,ファン
方式,ホウシキ
根拠,コンキョ
地区,チク
階級,カイキュウ
限界,ゲンカイ
生まれ,ウマレ
ネット,ネット
藩,ハン
影,カゲ
美術,ビジュツ
詩,シ
政権,セイケン
キー,キー
運命,ウンメイ
ライン,ライン
地上,チジョウ
鉄道,テツドウ
網,アミ
要因,ヨウイン
残り,ノコリ
長期,チョウキ
刑事,ケイジ
畑,ハタケ
ビデオ,ビデオ
小屋,コヤ
サイト,サイト
コース,コース
諸国,ショコク
オブ,オブ
支払い,シハライ
戦略,センリャク
連中,レンジュウ
扱い,アツカイ
料金,リョウキン
屋敷,ヤシキ
術,ジュツ
ルール,ルール
願い,ネガイ
鬼,オニ
項目,コウモク
タイム,タイム
側面,ソクメン
影,カゲ
桜,サクラ
一気,イッキ
株,カブ
航空,コウクウ
スピード,スピード
だんな,ダンナ
念,ネン
帯,オビ
大統領,ダイトウリョウ
両手,リョウテ
暮らし,クラシ
ひざ,ヒザ
協会,キョウカイ
温泉,オンセン
背後,ハイゴ
本部,ホンブ
スタイル,スタイル
姫,ヒメ
端,ハシ
おやじ,オヤジ
右手,ミギテ
中身,ナカミ
風景,フウケイ
現地,ゲンチ
犠牲,ギセイ
根,ネ
意義,イギ
幅,ハバ
書類,ショルイ
議員,ギイン
身分,ミブン
予算,ヨサン
小学,ショウガク
助,ジョ
暴力,ボウリョク
真実,シンジツ
メッセージ,メッセージ
勢力,セイリョク
働き,ハタラキ
輪,ワ
作戦,サクセン
週,シュウ
武士,ブシ
付き合い,ツキアイ
恐れ,オソレ
好み,コノミ
祭り,マツリ
主婦,シュフ
チャンス,チャンス
仕組み,シクミ
殺人,サツジン
合理,ゴウリ
当該,トウガイ
ＣＤ,シーディー
サイズ,サイズ
事項,ジコウ
作家,サッカ
汗,アセ
条約,ジョウヤク
福祉,フクシ
根本,コンポン
要,ヨウ
並み,ナミ
方面,ホウメン
筋,スジ
両者,リョウシャ
症状,ショウジョウ
首相,シュショウ
油,アブラ
かたがた,カタガタ
おのれ,オノレ
ウイルス,ウイルス
里,サト
ドラマ,ドラマ
名称,メイショウ
郵便,ユウビン
意,イ
軍事,グンジ
肉体,ニクタイ
バー,バー
列車,レッシャ
海軍,カイグン
美,ビ
孫,マゴ
電子,デンシ
ご覧,ゴラン
会員,カイイン
次いで,ツイデ
財政,ザイセイ
欄,ラン
本物,ホンモノ
跡,アト
大戦,タイセン
恋人,コイビト
魂,タマシイ
エンジン,エンジン
野球,ヤキュウ
旨,ムネ
将軍,ショウグン
ネットワーク,ネットワーク
効率,コウリツ
スタッフ,スタッフ
炎,ホノオ
体系,タイケイ
模様,モヨウ
順,ジュン
本格,ホンカク
ストレス,ストレス
外部,ガイブ
事例,ジレイ
観点,カンテン
しり,シリ
パターン,パターン
後者,コウシャ
カー,カー
成績,セイセキ
所得,ショトク
マスコミ,マスコミ
標準,ヒョウジュン
個々,ココ
上司,ジョウシ
仲,ナカ
債権,サイケン
共産,キョウサン
勇気,ユウキ
ブランド,ブランド
嫁,ヨメ
この世,コノヨ
ワイン,ワイン
部下,ブカ
武器,ブキ
巣,ス
棒,ボウ
定期,テイキ
筆者,ヒッシャ
問,トイ
扉,トビラ
ビジネス,ビジネス
作,サク
様式,ヨウシキ
用語,ヨウゴ
宿,ヤド
がん,ガン
付近,フキン
農民,ノウミン
動機,ドウキ
人数,ニンズウ
親子,オヤコ
思い出,オモイデ
賞,ショウ
大陸,タイリク
トラブル,トラブル
屋根,ヤネ
個性,コセイ
中間,チュウカン
実家,ジッカ
マイ,マイ
実態,ジッタイ
猿,サル
動産,ドウサン
粉,コナ
男子,ダンシ
＆,アンド
運,ウン
ノー,ノー
係,カカリ
評判,ヒョウバン
申し訳,モウシワケ
化学,カガク
便,ビン
役所,ヤクショ
天井,テンジョウ
牛,ウシ
厚生,コウセイ
天下,テンカ
例外,レイガイ
食品,ショクヒン
資源,シゲン
印,シルシ
原稿,ゲンコウ
光景,コウケイ
博物,ハクブツ
ツー,ツー
候補,コウホ
舌,シタ
蔵,クラ
全身,ゼンシン
実質,ジッシツ
法則,ホウソク
速度,ソクド
大衆,タイシュウ
デー,デー
左手,ヒダリテ
債務,サイム
瓶,ビン
道徳,ドウトク
損害,ソンガイ
死体,シタイ
農村,ノウソン
香り,カオリ
資産,シサン
墓,ハカ
竜,リュウ
大半,タイハン
典型,テンケイ
内閣,ナイカク
仏教,ブッキョウ
兵士,ヘイシ
基盤,キバン
何事,ナニゴト
職人,ショクニン
衝撃,ショウゲキ
学者,ガクシャ
事前,ジゼン
徐々,ジョジョ
夕食,ユウショク
生理,セイリ
ハウス,ハウス
剣,ケン
半島,ハントウ
水準,スイジュン
倫理,リンリ
映像,エイゾウ
機嫌,キゲン
愛情,アイジョウ
枠,ワク
皮,カワ
議会,ギカイ
大会,タイカイ
経緯,ケイイ
意気,イキ
得,トク
仏,ホトケ
貴族,キゾク
素材,ソザイ
一家,イッカ
人事,ジンジ
基地,キチ
わが家,ワガヤ
国立,コクリツ
大手,オオテ
内側,ウチガワ
地面,ジメン
児童,ジドウ
田,タ
出会い,デアイ
物理,ブツリ
手前,テマエ
文献,ブンケン
故郷,コキョウ
気配,ケハイ
画像,ガゾウ
芸能,ゲイノウ
憲法,ケンポウ
各種,カクシュ
塔,トウ
税金,ゼイキン
パワー,パワー
悩み,ナヤミ
心臓,シンゾウ
理事,リジ
大声,オオゴエ
坊,ボウ
蓋,フタ
幹部,カンブ
相対,ソウタイ
なべ,ナベ
機構,キコウ
著者,チョシャ
かかわり,カカワリ
給料,キュウリョウ
なぞ,ナゾ
地帯,チタイ
取り締まり,トリシマリ
他方,タホウ
知り合い,シリアイ
使い,ツカイ
陸軍,リクグン
人格,ジンカク
シート,シート
チャンネル,チャンネル
明かり,アカリ
国会,コッカイ
前者,ゼンシャ
リーダー,リーダー
首都,シュト
ナンバー,ナンバー
ショー,ショー
ベース,ベース
人工,ジンコウ
官僚,カンリョウ
技,ワザ
血液,ケツエキ
理念,リネン
疑い,ウタガイ
民衆,ミンシュウ
従業,ジュウギョウ
タイトル,タイトル
券,ケン
同僚,ドウリョウ
弟子,デシ
汁,ツユ
飯,メシ
jp,ジェーピー
上記,ジョウキ
がら,ガラ
部隊,ブタイ
古典,コテン
プロセス,プロセス
美人,ビジン
口調,クチョウ
ニュー,ニュー
某,ボウ
実力,ジツリョク
湾,ワン
陣,ジン
蛇,ヘビ
松,マツ
東洋,トウヨウ
見解,ケンカイ
布,ヌノ
ゴルフ,ゴルフ
冗談,ジョウダン
比,ヒ
イスラム,イスラム
商店,ショウテン
看板,カンバン
栄養,エイヨウ
理屈,リクツ
権威,ケンイ
メニュー,メニュー
才能,サイノウ
年寄り,トシヨリ
各国,カッコク
無料,ムリョウ
長男,チョウナン
列,レツ
商人,ショウニン
足元,アシモト
図書,トショ
コスト,コスト
缶,カン
唇,クチビル
細胞,サイボウ
一斉,イッセイ
グラス,グラス
手法,シュホウ
銃,ジュウ
面積,メンセキ
女房,ニョウボウ
えさ,エサ
親戚,シンセキ
損,ソン
皇帝,コウテイ
谷,タニ
トラック,トラック
たぐい,タグイ
次元,ジゲン
全面,ゼンメン
感想,カンソウ
学会,ガッカイ
カラー,カラー
徒,ト
神話,シンワ
変わり,カワリ
書店,ショテン
取り,トリ
バッグ,バッグ
人民,ジンミン
農家,ノウカ
ほお,ホオ
悲しみ,カナシミ
部門,ブモン
服装,フクソウ
サラリーマン,サラリーマン
石油,セキユ
針,ハリ
公式,コウシキ
リスク,リスク
意欲,イヨク
報酬,ホウシュウ
ロック,ロック
知人,チジン
票,ヒョウ
体力,タイリョク
室内,シツナイ
爪,ツメ
煙,ケムリ
金属,キンゾク
株主,カブヌシ
外交,ガイコウ
手元,テモト
アイディア,アイディア
班,ハン
一族,イチゾク
先端,センタン
別れ,ワカレ
堂々,ドウドウ
シリーズ,シリーズ
銀,ギン
信号,シンゴウ
コード,コード
ゴム,ゴム
ルート,ルート
帝,ミカド
ショップ,ショップ
軍隊,グンタイ
蛾,ガ
物事,モノゴト
脚,アシ
役人,ヤクニン
プロジェクト,プロジェクト
並び,ナラビ
期限,キゲン
ウインドー,ウインドー
行方,ユクエ
アドレス,アドレス
需要,ジュヨウ
都会,トカイ
画,ガ
永遠,エイエン
スペース,スペース
ＷＷＷ,ダブリューダブリューダブリュー
他者,タシャ
幹線,カンセン
本能,ホンノウ
予備,ヨビ
当,トウ
体重,タイジュウ
裸,ハダカ
行事,ギョウジ
温度,オンド
欲望,ヨクボウ
地点,チテン
広場,ヒロバ
地獄,ジゴク
素人,シロウト
タイミング,タイミング
軸,ジク
ツー,ツー
野,ノ
驚き,オドロキ
皮膚,ヒフ
ブーム,ブーム
特許,トッキョ
東西,トウザイ
境界,キョウカイ
人材,ジンザイ
食料,ショクリョウ
長官,チョウカン
友,トモ
ルーム,ルーム
前方,ゼンポウ
平,タイラ
圧力,アツリョク
ローン,ローン
丘,オカ
知事,チジ
ネズミ,ネズミ
筆,フデ
騒ぎ,サワギ
クマ,クマ
和,ワ
氷,コオリ
クリーム,クリーム
僧,ソウ
誇り,ホコリ
一連,イチレン
比率,ヒリツ
リンゴ,リンゴ
co,シーオー
有無,ウム
スター,スター
一行,イッコウ
必然,ヒツゼン
人種,ジンシュ
精,セイ
手数,テスウ
共和,キョウワ
ライト,ライト
役員,ヤクイン
釣り,ツリ
おまけ,オマケ
シーン,シーン
姉妹,シマイ
とめ,トメ
手のひら,テノヒラ
胃,イ
すき間,スキマ
メリット,メリット
食糧,ショクリョウ
数値,スウチ
虎,トラ
ひも,ヒモ
秘書,ヒショ
事柄,コトガラ
持ち主,モチヌシ
連邦,レンポウ
金銭,キンセン
狙い,ネライ
朝食,チョウショク
先進,センシン
疲れ,ツカレ
正義,セイギ
視野,シヤ
あご,アゴ
争い,アラソイ
鶏,ニワトリ
現金,ゲンキン
商業,ショウギョウ
奴隷,ドレイ
幼児,ヨウジ
ホール,ホール
片,カタ
竹,タケ
プラン,プラン
死者,シシャ
賃金,チンギン
しまい,シマイ
十字,ジュウジ
白人,ハクジン
着,キ
天然,テンネン
業者,ギョウシャ
年代,ネンダイ
体質,タイシツ
要件,ヨウケン
経,キョウ
庶民,ショミン
オフィス,オフィス
証券,ショウケン
スクール,スクール
カウンター,カウンター
ファッション,ファッション
富,トミ
日米,ニチベイ
葬儀,ソウギ
育児,イクジ
伝説,デンセツ
儀式,ギシキ
試み,ココロミ
札,フダ
固まり,カタマリ
クリスマス,クリスマス
よそ,ヨソ
能,ノウ
好意,コウイ
取り扱い,トリアツカイ
昼食,チュウショク
ホワイト,ホワイト
せりふ,セリフ
メーン,メーン
役目,ヤクメ
手伝い,テツダイ
車両,シャリョウ
生き物,イキモノ
南部,ナンブ
グリーン,グリーン
災害,サイガイ
甲斐,カイ
旗,ハタ
文庫,ブンコ
兵器,ヘイキ
リズム,リズム
句,ク
確率,カクリツ
筋肉,キンニク
ブルー,ブルー
自主,ジシュ
理,リ
遺産,イサン
悲劇,ヒゲキ
ピンク,ピンク
サイド,サイド
果て,ハテ
コツ,コツ
組み合わせ,クミアワセ
もち,モチ
当事,トウジ
弁,ベン
景気,ケイキ
国境,コッキョウ
順番,ジュンバン
療法,リョウホウ
最新,サイシン
著,チョ
ワード,ワード
イベント,イベント
豆腐,トウフ
半身,ハンシン
劇,ゲキ
中年,チュウネン
世帯,セタイ
特性,トクセイ
前掲,ゼンケイ
衣,イ
抜き,ヌキ
ボランティア,ボランティア
つながり,ツナガリ
衛生,エイセイ
冒頭,ボウトウ
成分,セイブン
